experiment_id,alg_type,init_type,model_type,group_id,seed
1,Gibbs,hp,hp,1,1
2,Gibbs,hp,hp,1,2
3,Gibbs,hp,hp,1,3
4,Gibbs,hp,hp,1,4
5,Gibbs,hp,lp,2,1
6,Gibbs,hp,lp,2,2
7,Gibbs,hp,lp,2,3
8,Gibbs,hp,lp,2,4
9,Gibbs,lp,hp,3,1
10,Gibbs,lp,hp,3,2
11,Gibbs,lp,hp,3,3
12,Gibbs,lp,hp,3,4
13,Gibbs,lp,lp,4,1
14,Gibbs,lp,lp,4,2
15,Gibbs,lp,lp,4,3
16,Gibbs,lp,lp,4,4
17,Gibbs,rand,hp,5,1
18,Gibbs,rand,hp,5,2
19,Gibbs,rand,hp,5,3
20,Gibbs,rand,hp,5,4
21,Gibbs,rand,lp,6,1
22,Gibbs,rand,lp,6,2
23,Gibbs,rand,lp,6,3
24,Gibbs,rand,lp,6,4
