time,start_date,end_date,cases,tests,deaths,prop_deaths_reported
1,2020-03-30,2020-04-05,485,5123,10,1
2,2020-04-06,2020-04-12,453,4755,6,1
3,2020-04-13,2020-04-19,546,6112,14,1
4,2020-04-20,2020-04-26,688,8313,14,1
5,2020-04-27,2020-05-03,989,12093,25,1
6,2020-05-04,2020-05-10,1135,14004,31,1
7,2020-05-11,2020-05-17,1130,16079,25,1
8,2020-05-18,2020-05-24,1368,21020,43,1
9,2020-05-25,2020-05-31,1564,23151,45,1
10,2020-06-01,2020-06-07,1732,27723,50,1
11,2020-06-08,2020-06-14,2077,30237,55,1
12,2020-06-15,2020-06-21,4118,37452,49,1
13,2020-06-22,2020-06-28,6737,46694,74,1
14,2020-06-29,2020-07-05,6536,45113,72,1
15,2020-07-06,2020-07-12,7016,52584,85,1
16,2020-07-13,2020-07-19,5767,51017,87,1
17,2020-07-20,2020-07-26,3904,45098,89,1
18,2020-07-27,2020-08-02,3802,50442,97,1
19,2020-08-03,2020-08-09,3022,49839,107,1
20,2020-08-10,2020-08-16,2263,45031,94,1
21,2020-08-17,2020-08-23,2006,42853,66,1
22,2020-08-24,2020-08-30,1580,42170,65,1
23,2020-08-31,2020-09-06,1551,42262,54,1
24,2020-09-07,2020-09-13,1342,44552,33,1
25,2020-09-14,2020-09-20,1492,49722,57,1
26,2020-09-21,2020-09-27,1738,56074,44,1
27,2020-09-28,2020-10-04,1613,46823,48,1
28,2020-10-05,2020-10-11,1682,55797,33,1
29,2020-10-12,2020-10-18,1785,56217,17,1
30,2020-10-19,2020-10-25,1978,57782,31,1
31,2020-10-26,2020-11-01,1922,58459,18,1
32,2020-11-02,2020-11-08,2944,67067,16,1
33,2020-11-09,2020-11-15,4397,75929,41,1
34,2020-11-16,2020-11-22,7984,102621,42,1
35,2020-11-23,2020-11-29,9106,86895,60,1
36,2020-11-30,2020-12-06,16092,124703,73,1
37,2020-12-07,2020-12-13,21588,142818,144,1
38,2020-12-14,2020-12-20,26750,162093,220,1
39,2020-12-21,2020-12-27,20964,122328,330,1
40,2020-12-28,2021-01-03,25738,135417,436,0.9998604716059718
41,2021-01-04,2021-01-10,27572,169668,413,0.9998604716059718
42,2021-01-11,2021-01-17,19298,156286,383,0.9997209432119436
43,2021-01-18,2021-01-24,14558,135163,347,0.9997209432119436
44,2021-01-25,2021-01-31,10671,119632,266,0.9997209432119436
45,2021-02-01,2021-02-07,7829,103569,231,0.9995814148179154
46,2021-02-08,2021-02-14,4544,89538,175,0.9994418864238873
47,2021-02-15,2021-02-21,2936,78547,119,0.9987442444537463
48,2021-02-22,2021-02-28,2163,74792,95,0.9986047160597181
