iteration,chain,data_new_deaths[1],data_new_deaths[2],data_new_deaths[3],data_new_deaths[4],data_new_deaths[5],data_new_deaths[6],data_new_deaths[7],data_new_deaths[8],data_new_deaths[9],data_new_deaths[10],data_new_deaths[11],data_new_deaths[12],data_new_deaths[13],data_new_deaths[14],data_new_deaths[15],data_new_deaths[16],data_new_deaths[17],data_new_deaths[18],data_new_deaths[19],data_new_deaths[20],data_new_deaths[21],data_new_deaths[22],data_new_deaths[23],data_new_deaths[24],data_new_deaths[25],data_new_deaths[26],data_new_deaths[27],data_new_deaths[28],data_new_deaths[29],data_new_deaths[30],data_new_deaths[31],data_new_deaths[32],data_new_deaths[33],data_new_deaths[34],data_new_deaths[35],data_new_deaths[36],data_new_deaths[37],data_new_deaths[38],data_new_deaths[39],data_new_deaths[40],data_new_deaths[41],data_new_deaths[42],data_new_cases[1],data_new_cases[2],data_new_cases[3],data_new_cases[4],data_new_cases[5],data_new_cases[6],data_new_cases[7],data_new_cases[8],data_new_cases[9],data_new_cases[10],data_new_cases[11],data_new_cases[12],data_new_cases[13],data_new_cases[14],data_new_cases[15],data_new_cases[16],data_new_cases[17],data_new_cases[18],data_new_cases[19],data_new_cases[20],data_new_cases[21],data_new_cases[22],data_new_cases[23],data_new_cases[24],data_new_cases[25],data_new_cases[26],data_new_cases[27],data_new_cases[28],data_new_cases[29],data_new_cases[30],data_new_cases[31],data_new_cases[32],data_new_cases[33],data_new_cases[34],data_new_cases[35],data_new_cases[36],data_new_cases[37],data_new_cases[38],data_new_cases[39],data_new_cases[40],data_new_cases[41],data_new_cases[42],data_seroprev_cases[1]
1,1,10.0,18.0,17.0,27.0,24.0,38.0,27.0,39.0,61.0,56.0,44.0,65.0,66.0,67.0,97.0,84.0,96.0,111.0,98.0,82.0,46.0,54.0,67.0,44.0,57.0,46.0,39.0,30.0,24.0,34.0,30.0,22.0,24.0,44.0,68.0,95.0,151.0,226.0,309.0,415.0,379.0,375.0,473.0,516.0,567.0,836.0,899.0,1210.0,1088.0,1249.0,1594.0,1760.0,2022.0,3920.0,6602.0,5925.0,7336.0,5205.0,3120.0,3928.0,2650.0,2573.0,1884.0,1492.0,1401.0,1749.0,1574.0,1454.0,1299.0,1678.0,2098.0,1757.0,1953.0,2427.0,3986.0,6924.0,8512.0,17025.0,22085.0,28216.0,22492.0,26581.0,31591.0,18392.0,323.0
2,1,8.0,16.0,18.0,16.0,16.0,18.0,30.0,33.0,40.0,40.0,45.0,44.0,69.0,76.0,91.0,85.0,78.0,109.0,87.0,75.0,91.0,77.0,49.0,35.0,39.0,30.0,28.0,30.0,27.0,24.0,19.0,27.0,35.0,27.0,56.0,78.0,188.0,196.0,254.0,434.0,387.0,471.0,482.0,455.0,474.0,682.0,796.0,929.0,1340.0,1271.0,1441.0,1602.0,2157.0,3932.0,6386.0,5961.0,6910.0,4967.0,4204.0,3854.0,2549.0,1696.0,1238.0,1628.0,1182.0,1056.0,1407.0,1592.0,1373.0,1266.0,1437.0,1192.0,1731.0,2752.0,4402.0,7414.0,8902.0,17141.0,21539.0,28503.0,19536.0,26777.0,26628.0,21351.0,343.0
3,1,6.0,10.0,14.0,17.0,24.0,25.0,28.0,28.0,46.0,51.0,36.0,66.0,54.0,67.0,84.0,106.0,89.0,107.0,62.0,76.0,84.0,64.0,70.0,32.0,46.0,38.0,33.0,41.0,24.0,20.0,22.0,31.0,34.0,36.0,79.0,70.0,171.0,193.0,323.0,350.0,532.0,454.0,445.0,509.0,479.0,636.0,948.0,865.0,1069.0,1284.0,1382.0,1846.0,2472.0,3889.0,6492.0,6062.0,6281.0,5332.0,4276.0,3980.0,3819.0,1498.0,2023.0,1492.0,1227.0,966.0,1375.0,1673.0,1489.0,1497.0,1769.0,1434.0,2664.0,2546.0,5370.0,7571.0,9108.0,13797.0,21496.0,33853.0,22415.0,24230.0,28139.0,22588.0,333.0
4,1,13.0,15.0,12.0,21.0,23.0,18.0,24.0,33.0,27.0,35.0,45.0,50.0,68.0,68.0,91.0,85.0,93.0,84.0,92.0,67.0,71.0,60.0,37.0,39.0,46.0,32.0,35.0,31.0,27.0,24.0,25.0,21.0,29.0,36.0,43.0,85.0,117.0,211.0,427.0,526.0,436.0,491.0,505.0,462.0,601.0,654.0,1122.0,793.0,1116.0,1271.0,1531.0,1663.0,2346.0,3968.0,6336.0,6475.0,6440.0,6197.0,4190.0,3322.0,2673.0,2113.0,1543.0,1760.0,1265.0,1526.0,1439.0,1509.0,1497.0,1975.0,2524.0,1599.0,2210.0,3332.0,3488.0,7365.0,9001.0,14657.0,20501.0,28534.0,23082.0,24813.0,29794.0,22906.0,321.0
5,1,12.0,14.0,16.0,15.0,18.0,23.0,30.0,39.0,63.0,51.0,49.0,51.0,46.0,64.0,79.0,70.0,83.0,70.0,81.0,73.0,79.0,63.0,40.0,54.0,40.0,40.0,35.0,32.0,20.0,25.0,22.0,29.0,27.0,33.0,61.0,103.0,162.0,178.0,233.0,468.0,562.0,337.0,530.0,401.0,472.0,554.0,1077.0,1061.0,1085.0,1451.0,1147.0,1756.0,2462.0,4856.0,7191.0,6739.0,6663.0,5637.0,4062.0,3754.0,2920.0,2951.0,1449.0,1493.0,1612.0,1304.0,808.0,1422.0,1601.0,1690.0,1578.0,1785.0,1713.0,2515.0,3696.0,7860.0,8364.0,14928.0,23029.0,30009.0,21125.0,25684.0,26974.0,21829.0,348.0
6,1,18.0,16.0,12.0,23.0,21.0,22.0,19.0,40.0,53.0,51.0,65.0,70.0,64.0,82.0,101.0,77.0,80.0,84.0,85.0,74.0,79.0,57.0,55.0,64.0,46.0,30.0,32.0,23.0,30.0,25.0,20.0,28.0,34.0,38.0,70.0,91.0,164.0,322.0,365.0,423.0,452.0,465.0,501.0,523.0,480.0,780.0,787.0,1187.0,1134.0,1593.0,1674.0,1767.0,2186.0,3323.0,5663.0,5670.0,7131.0,5821.0,4515.0,3250.0,3799.0,2409.0,1468.0,1874.0,1547.0,1370.0,1223.0,1103.0,1291.0,1585.0,1799.0,2052.0,2171.0,2842.0,3154.0,6673.0,8349.0,16532.0,22611.0,31851.0,23275.0,28248.0,26544.0,21796.0,329.0
7,1,9.0,15.0,15.0,13.0,22.0,28.0,29.0,39.0,42.0,42.0,54.0,56.0,57.0,56.0,80.0,77.0,100.0,101.0,77.0,98.0,59.0,65.0,57.0,50.0,28.0,19.0,28.0,28.0,28.0,26.0,21.0,16.0,22.0,44.0,69.0,88.0,154.0,187.0,413.0,384.0,424.0,458.0,419.0,420.0,482.0,582.0,947.0,1149.0,1112.0,1297.0,1559.0,1647.0,2224.0,3618.0,5751.0,6046.0,6539.0,6106.0,3575.0,3037.0,2926.0,1966.0,1936.0,1422.0,1218.0,883.0,1686.0,1425.0,1010.0,1672.0,1681.0,1749.0,1334.0,2802.0,3975.0,6511.0,9611.0,17857.0,20856.0,30709.0,23216.0,26143.0,32778.0,21717.0,311.0
8,1,24.0,11.0,19.0,19.0,22.0,31.0,46.0,35.0,54.0,39.0,59.0,58.0,48.0,75.0,80.0,85.0,101.0,90.0,90.0,80.0,68.0,64.0,48.0,33.0,54.0,53.0,38.0,25.0,27.0,24.0,27.0,28.0,37.0,56.0,71.0,74.0,155.0,232.0,418.0,419.0,530.0,458.0,508.0,451.0,423.0,666.0,996.0,961.0,1096.0,1506.0,1574.0,1919.0,2097.0,4165.0,5830.0,6869.0,6127.0,5957.0,3833.0,4022.0,3107.0,2817.0,2182.0,1736.0,1183.0,1581.0,1755.0,1407.0,1484.0,2510.0,2064.0,2004.0,1910.0,2755.0,3827.0,6762.0,8613.0,15625.0,24685.0,28673.0,22332.0,25070.0,33594.0,23749.0,323.0
9,1,6.0,19.0,11.0,13.0,28.0,29.0,31.0,31.0,50.0,55.0,54.0,55.0,53.0,64.0,87.0,77.0,112.0,78.0,89.0,68.0,77.0,58.0,50.0,52.0,30.0,42.0,58.0,31.0,22.0,18.0,23.0,25.0,32.0,44.0,78.0,89.0,163.0,199.0,297.0,398.0,423.0,439.0,402.0,382.0,549.0,660.0,859.0,1115.0,980.0,1657.0,1383.0,1974.0,2045.0,4123.0,5885.0,6552.0,6675.0,6695.0,3528.0,4009.0,2524.0,2749.0,1967.0,1399.0,1439.0,1605.0,1888.0,2223.0,1480.0,1399.0,1714.0,1351.0,1556.0,1983.0,3566.0,7914.0,7929.0,15091.0,21639.0,28348.0,22627.0,27212.0,27973.0,19664.0,371.0
10,1,18.0,16.0,11.0,15.0,27.0,29.0,36.0,44.0,41.0,43.0,41.0,44.0,62.0,67.0,111.0,91.0,124.0,85.0,100.0,84.0,72.0,57.0,67.0,38.0,37.0,43.0,34.0,35.0,24.0,22.0,24.0,30.0,26.0,38.0,66.0,74.0,178.0,185.0,367.0,495.0,476.0,469.0,434.0,407.0,543.0,583.0,854.0,896.0,1104.0,1340.0,1475.0,1795.0,2188.0,3832.0,4981.0,6562.0,7188.0,5296.0,3921.0,3302.0,2843.0,2017.0,1830.0,1682.0,1529.0,1568.0,1397.0,1461.0,1878.0,1519.0,1251.0,1414.0,1748.0,2693.0,3663.0,6667.0,8361.0,16652.0,21671.0,28835.0,21927.0,27090.0,30108.0,23320.0,340.0
