model_id,model_design,seed,constant_alpha,constant_IFR,constant_R0,double_IFR_0,half_alpha_0,half_R0_0,half_S_0,max_t,use_seroprev,use_tests
1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,FALSE,TRUE
2,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,FALSE,TRUE
3,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,FALSE,TRUE
4,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,FALSE,TRUE
5,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,TRUE,TRUE
6,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,TRUE,TRUE
7,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,TRUE,TRUE
8,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,TRUE,TRUE
9,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,FALSE,TRUE
10,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,FALSE,TRUE
11,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,FALSE,TRUE
12,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,FALSE,TRUE
13,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,TRUE,TRUE
14,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,TRUE,TRUE
15,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,TRUE,TRUE
16,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,TRUE,TRUE
17,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,FALSE,TRUE
18,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,FALSE,TRUE
19,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,FALSE,TRUE
20,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,FALSE,TRUE
21,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,TRUE,TRUE
22,6,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,TRUE,TRUE
23,6,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,TRUE,TRUE
24,6,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,TRUE,TRUE
25,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,FALSE,TRUE
26,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,FALSE,TRUE
27,7,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,FALSE,TRUE
28,7,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,FALSE,TRUE
29,8,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,TRUE,TRUE
30,8,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,TRUE,TRUE
31,8,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,TRUE,TRUE
32,8,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,TRUE,TRUE
33,9,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,FALSE,TRUE
34,9,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,FALSE,TRUE
35,9,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,FALSE,TRUE
36,9,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,FALSE,TRUE
37,10,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,TRUE,TRUE
38,10,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,TRUE,TRUE
39,10,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,TRUE,TRUE
40,10,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,TRUE,TRUE
41,11,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,FALSE,TRUE
42,11,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,FALSE,TRUE
43,11,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,FALSE,TRUE
44,11,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,FALSE,TRUE
45,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,TRUE,TRUE
46,12,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,TRUE,TRUE
47,12,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,TRUE,TRUE
48,12,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,TRUE,TRUE
49,13,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,FALSE,TRUE
50,13,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,FALSE,TRUE
51,13,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,FALSE,TRUE
52,13,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,FALSE,TRUE
53,14,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,TRUE,TRUE
54,14,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,TRUE,TRUE
55,14,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,TRUE,TRUE
56,14,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,TRUE,TRUE
57,15,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,FALSE,TRUE
58,15,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,FALSE,TRUE
59,15,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,FALSE,TRUE
60,15,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,FALSE,TRUE
61,16,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,TRUE,TRUE
62,16,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,TRUE,TRUE
63,16,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,TRUE,TRUE
64,16,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,TRUE,TRUE
65,17,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,FALSE,TRUE
66,17,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,FALSE,TRUE
67,17,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,FALSE,TRUE
68,17,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,FALSE,TRUE
69,18,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,TRUE,TRUE
70,18,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,TRUE,TRUE
71,18,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,TRUE,TRUE
72,18,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,TRUE,TRUE
73,19,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,FALSE,TRUE
74,19,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,FALSE,TRUE
75,19,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,FALSE,TRUE
76,19,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,FALSE,TRUE
77,20,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,TRUE,TRUE
78,20,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,TRUE,TRUE
79,20,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,TRUE,TRUE
80,20,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,TRUE,TRUE
81,21,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,FALSE,TRUE
82,21,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,FALSE,TRUE
83,21,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,FALSE,TRUE
84,21,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,FALSE,TRUE
85,22,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,TRUE,TRUE
86,22,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,TRUE,TRUE
87,22,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,TRUE,TRUE
88,22,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,TRUE,TRUE
89,23,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,FALSE,TRUE
90,23,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,FALSE,TRUE
91,23,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,FALSE,TRUE
92,23,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,FALSE,TRUE
93,24,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,TRUE,TRUE
94,24,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,TRUE,TRUE
95,24,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,TRUE,TRUE
96,24,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,TRUE,TRUE
97,25,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,FALSE,TRUE
98,25,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,FALSE,TRUE
99,25,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,FALSE,TRUE
100,25,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,FALSE,TRUE
101,26,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,TRUE,TRUE
102,26,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,TRUE,TRUE
103,26,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,TRUE,TRUE
104,26,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,TRUE,TRUE
