sim_id,model_design,data_id,use_deaths,use_tests,use_seroprev,use_wide_priors
1,1,1,TRUE,TRUE,TRUE,FALSE
2,1,2,TRUE,TRUE,TRUE,FALSE
3,1,3,TRUE,TRUE,TRUE,FALSE
4,1,4,TRUE,TRUE,TRUE,FALSE
5,1,5,TRUE,TRUE,TRUE,FALSE
6,1,6,TRUE,TRUE,TRUE,FALSE
7,1,7,TRUE,TRUE,TRUE,FALSE
8,1,8,TRUE,TRUE,TRUE,FALSE
9,1,9,TRUE,TRUE,TRUE,FALSE
10,1,10,TRUE,TRUE,TRUE,FALSE
11,1,11,TRUE,TRUE,TRUE,FALSE
12,1,12,TRUE,TRUE,TRUE,FALSE
13,1,13,TRUE,TRUE,TRUE,FALSE
14,1,14,TRUE,TRUE,TRUE,FALSE
15,1,15,TRUE,TRUE,TRUE,FALSE
16,1,16,TRUE,TRUE,TRUE,FALSE
17,1,17,TRUE,TRUE,TRUE,FALSE
18,1,18,TRUE,TRUE,TRUE,FALSE
19,1,19,TRUE,TRUE,TRUE,FALSE
20,1,20,TRUE,TRUE,TRUE,FALSE
21,1,21,TRUE,TRUE,TRUE,FALSE
22,1,22,TRUE,TRUE,TRUE,FALSE
23,1,23,TRUE,TRUE,TRUE,FALSE
24,1,24,TRUE,TRUE,TRUE,FALSE
25,1,25,TRUE,TRUE,TRUE,FALSE
26,1,26,TRUE,TRUE,TRUE,FALSE
27,1,27,TRUE,TRUE,TRUE,FALSE
28,1,28,TRUE,TRUE,TRUE,FALSE
29,1,29,TRUE,TRUE,TRUE,FALSE
30,1,30,TRUE,TRUE,TRUE,FALSE
31,1,31,TRUE,TRUE,TRUE,FALSE
32,1,32,TRUE,TRUE,TRUE,FALSE
33,1,33,TRUE,TRUE,TRUE,FALSE
34,1,34,TRUE,TRUE,TRUE,FALSE
35,1,35,TRUE,TRUE,TRUE,FALSE
36,1,36,TRUE,TRUE,TRUE,FALSE
37,1,37,TRUE,TRUE,TRUE,FALSE
38,1,38,TRUE,TRUE,TRUE,FALSE
39,1,39,TRUE,TRUE,TRUE,FALSE
40,1,40,TRUE,TRUE,TRUE,FALSE
41,1,41,TRUE,TRUE,TRUE,FALSE
42,1,42,TRUE,TRUE,TRUE,FALSE
43,1,43,TRUE,TRUE,TRUE,FALSE
44,1,44,TRUE,TRUE,TRUE,FALSE
45,1,45,TRUE,TRUE,TRUE,FALSE
46,1,46,TRUE,TRUE,TRUE,FALSE
47,1,47,TRUE,TRUE,TRUE,FALSE
48,1,48,TRUE,TRUE,TRUE,FALSE
49,1,49,TRUE,TRUE,TRUE,FALSE
50,1,50,TRUE,TRUE,TRUE,FALSE
51,1,51,TRUE,TRUE,TRUE,FALSE
52,1,52,TRUE,TRUE,TRUE,FALSE
53,1,53,TRUE,TRUE,TRUE,FALSE
54,1,54,TRUE,TRUE,TRUE,FALSE
55,1,55,TRUE,TRUE,TRUE,FALSE
56,1,56,TRUE,TRUE,TRUE,FALSE
57,1,57,TRUE,TRUE,TRUE,FALSE
58,1,58,TRUE,TRUE,TRUE,FALSE
59,1,59,TRUE,TRUE,TRUE,FALSE
60,1,60,TRUE,TRUE,TRUE,FALSE
61,1,61,TRUE,TRUE,TRUE,FALSE
62,1,62,TRUE,TRUE,TRUE,FALSE
63,1,63,TRUE,TRUE,TRUE,FALSE
64,1,64,TRUE,TRUE,TRUE,FALSE
65,1,65,TRUE,TRUE,TRUE,FALSE
66,1,66,TRUE,TRUE,TRUE,FALSE
67,1,67,TRUE,TRUE,TRUE,FALSE
68,1,68,TRUE,TRUE,TRUE,FALSE
69,1,69,TRUE,TRUE,TRUE,FALSE
70,1,70,TRUE,TRUE,TRUE,FALSE
71,1,71,TRUE,TRUE,TRUE,FALSE
72,1,72,TRUE,TRUE,TRUE,FALSE
73,1,73,TRUE,TRUE,TRUE,FALSE
74,1,74,TRUE,TRUE,TRUE,FALSE
75,1,75,TRUE,TRUE,TRUE,FALSE
76,1,76,TRUE,TRUE,TRUE,FALSE
77,1,77,TRUE,TRUE,TRUE,FALSE
78,1,78,TRUE,TRUE,TRUE,FALSE
79,1,79,TRUE,TRUE,TRUE,FALSE
80,1,80,TRUE,TRUE,TRUE,FALSE
81,1,81,TRUE,TRUE,TRUE,FALSE
82,1,82,TRUE,TRUE,TRUE,FALSE
83,1,83,TRUE,TRUE,TRUE,FALSE
84,1,84,TRUE,TRUE,TRUE,FALSE
85,1,85,TRUE,TRUE,TRUE,FALSE
86,1,86,TRUE,TRUE,TRUE,FALSE
87,1,87,TRUE,TRUE,TRUE,FALSE
88,1,88,TRUE,TRUE,TRUE,FALSE
89,1,89,TRUE,TRUE,TRUE,FALSE
90,1,90,TRUE,TRUE,TRUE,FALSE
91,1,91,TRUE,TRUE,TRUE,FALSE
92,1,92,TRUE,TRUE,TRUE,FALSE
93,1,93,TRUE,TRUE,TRUE,FALSE
94,1,94,TRUE,TRUE,TRUE,FALSE
95,1,95,TRUE,TRUE,TRUE,FALSE
96,1,96,TRUE,TRUE,TRUE,FALSE
97,1,97,TRUE,TRUE,TRUE,FALSE
98,1,98,TRUE,TRUE,TRUE,FALSE
99,1,99,TRUE,TRUE,TRUE,FALSE
100,1,100,TRUE,TRUE,TRUE,FALSE
101,1,101,TRUE,TRUE,TRUE,FALSE
102,1,102,TRUE,TRUE,TRUE,FALSE
103,1,103,TRUE,TRUE,TRUE,FALSE
104,1,104,TRUE,TRUE,TRUE,FALSE
105,1,105,TRUE,TRUE,TRUE,FALSE
106,1,106,TRUE,TRUE,TRUE,FALSE
107,1,107,TRUE,TRUE,TRUE,FALSE
108,1,108,TRUE,TRUE,TRUE,FALSE
109,1,109,TRUE,TRUE,TRUE,FALSE
110,1,110,TRUE,TRUE,TRUE,FALSE
111,1,111,TRUE,TRUE,TRUE,FALSE
112,1,112,TRUE,TRUE,TRUE,FALSE
113,1,113,TRUE,TRUE,TRUE,FALSE
114,1,114,TRUE,TRUE,TRUE,FALSE
115,1,115,TRUE,TRUE,TRUE,FALSE
116,1,116,TRUE,TRUE,TRUE,FALSE
